age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
79.0,admin.,single,university.degree,no,no,no,cellular,mar,fri,22.0,1,999,0,nonexistent,1.4,93.911,-38.6,3.264,5008,no
19.0,technician,single,university.degree,no,yes,no,cellular,sep,tue,218.0,12,999,0,nonexistent,-1.8,92.603,-46.5,3.582,5176,no
41.0,admin.,single,unknown,no,yes,no,telephone,may,tue,19.0,8,999,0,nonexistent,1.4,93.951,-32.9,1.09,5228,no
43.0,technician,married,unknown,no,yes,no,cellular,may,mon,1507.0,2,999,0,nonexistent,1.4,94.013,-31.8,3.101,5191,no
48.0,blue-collar,single,university.degree,no,yes,no,cellular,may,wed,527.0,8,999,0,nonexistent,-0.1,92.978,-30.0,3.1,5017,yes
81.0,retired,married,basic.6y,no,no,yes,telephone,sep,thu,313.0,4,999,0,nonexistent,1.1,93.93,-48.0,2.872,5076,yes
29.0,blue-collar,single,professional.course,unknown,no,no,cellular,may,fri,283.0,3,999,0,nonexistent,1.1,94.573,-47.8,1.059,5176,no
33.0,unemployed,single,university.degree,unknown,no,no,cellular,dec,thu,324.0,8,999,0,nonexistent,1.1,92.196,-43.9,4.41,5191,yes
49.0,admin.,married,university.degree,no,no,no,cellular,jan,mon,32.0,10,999,0,nonexistent,1.4,93.757,-48.4,5.0,5191,no
28.0,management,married,university.degree,no,no,no,telephone,jun,thu,119.0,14,999,0,nonexistent,-1.8,93.632,-40.2,2.769,5228,no
64.0,management,married,basic.4y,no,yes,no,cellular,dec,fri,349.0,14,999,0,nonexistent,-0.1,92.928,-46.6,3.991,5008,yes
70.0,admin.,married,basic.9y,no,no,no,cellular,jul,tue,288.0,4,999,0,nonexistent,-0.1,93.124,-35.1,2.278,5228,no
32.0,management,married,basic.9y,unknown,yes,yes,telephone,dec,wed,167.0,11,999,0,nonexistent,1.1,92.77,-44.7,2.469,5228,no
71.0,admin.,single,university.degree,no,no,no,cellular,dec,mon,188.0,6,999,0,nonexistent,-0.1,92.68,-36.3,5.0,5228,no
37.0,blue-collar,single,unknown,unknown,unknown,no,cellular,may,mon,118.0,10,999,0,nonexistent,1.4,93.834,-29.4,1.357,5191,no
19.0,admin.,single,professional.course,unknown,yes,no,cellular,oct,tue,17.0,12,999,0,nonexistent,-1.7,94.128,-37.2,3.611,5017,no
55.0,admin.,married,basic.9y,no,no,yes,cellular,may,mon,42.0,6,999,0,nonexistent,-0.1,94.914,-45.3,0.709,5017,no
44.0,retired,married,basic.9y,no,yes,no,cellular,dec,thu,184.0,8,999,0,nonexistent,1.1,94.033,-47.3,3.56,5008,no
70.0,admin.,married,university.degree,no,no,no,telephone,sep,thu,87.0,5,999,0,nonexistent,1.4,93.107,-46.1,4.078,5017,no
26.0,admin.,married,university.degree,no,no,no,telephone,jun,wed,443.0,4,999,0,nonexistent,-1.7,93.489,-37.8,2.68,5191,no
79.0,unknown,married,professional.course,no,yes,yes,telephone,may,thu,33.0,4,999,0,nonexistent,-1.8,94.141,-50.6,2.463,4963,no
81.0,services,married,high.school,no,yes,yes,telephone,dec,mon,44.0,9,999,0,nonexistent,-1.7,92.774,-48.3,0.6,5099,no
60.0,services,single,university.degree,unknown,yes,no,cellular,jun,fri,266.0,2,999,0,nonexistent,-0.1,93.471,-37.5,2.893,5191,no
67.0,technician,married,basic.6y,no,yes,no,cellular,jul,tue,136.0,6,999,0,nonexistent,-0.1,93.461,-39.8,5.0,5099,no
68.0,housemaid,married,basic.9y,unknown,no,no,cellular,dec,wed,24.0,10,999,0,nonexistent,-0.1,92.631,-37.8,2.033,5008,no
56.0,housemaid,married,university.degree,no,yes,no,telephone,may,mon,27.0,12,999,0,nonexistent,-1.7,92.841,-46.6,2.304,5191,no
54.0,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,291.0,2,999,0,nonexistent,-0.1,93.718,-44.3,4.41,5017,no
45.0,housemaid,married,professional.course,no,yes,no,telephone,nov,mon,124.0,11,999,0,nonexistent,1.1,93.263,-37.0,1.813,5099,no
33.0,blue-collar,single,university.degree,no,no,no,cellular,nov,fri,336.0,12,999,0,nonexistent,1.4,94.907,-43.8,4.823,5228,no
76.0,admin.,divorced,university.degree,no,yes,no,cellular,may,mon,7.0,7,999,0,nonexistent,-0.1,93.599,-34.9,4.161,5008,no
59.0,admin.,single,unknown,no,no,no,cellular,may,wed,62.0,11,999,0,nonexistent,1.4,93.038,-33.2,4.256,4963,no
24.0,retired,married,professional.course,no,no,no,cellular,may,mon,13.0,8,999,0,nonexistent,-0.1,93.862,-35.9,0.6,5176,no
38.0,technician,married,high.school,no,no,no,telephone,feb,thu,35.0,1,999,0,nonexistent,-0.1,93.014,-42.0,4.616,5099,no
21.0,management,single,basic.9y,no,no,no,telephone,sep,mon,30.0,5,999,0,nonexistent,-0.1,93.935,-37.9,2.04,5017,no
18.0,blue-collar,married,basic.6y,no,no,yes,telephone,jul,wed,814.0,5,999,0,nonexistent,-0.1,93.669,-45.0,3.293,5076,no
23.0,housemaid,married,university.degree,no,no,no,cellular,apr,thu,36.0,13,999,0,nonexistent,1.1,93.472,-48.8,4.109,5017,no
53.0,admin.,married,university.degree,no,yes,no,cellular,may,fri,275.0,13,999,0,nonexistent,1.4,92.762,-42.6,5.0,5191,no
,blue-collar,single,university.degree,no,yes,no,telephone,may,thu,607.0,14,999,0,nonexistent,1.1,93.52,-39.6,5.0,5017,no
56.0,admin.,single,high.school,no,yes,no,cellular,sep,fri,640.0,10,999,0,nonexistent,-0.1,93.94,-45.6,3.636,5191,yes
,services,single,university.degree,unknown,no,no,cellular,nov,wed,376.0,4,999,0,nonexistent,-0.1,93.56,-38.4,5.0,5076,yes
84.0,services,married,basic.6y,no,no,unknown,cellular,jul,tue,68.0,12,999,0,nonexistent,1.4,94.224,-40.3,3.455,5099,no
70.0,technician,married,unknown,no,yes,yes,telephone,aug,thu,179.0,2,999,0,nonexistent,1.1,94.509,-38.4,1.807,5099,no
66.0,management,married,university.degree,unknown,yes,no,cellular,may,fri,90.0,11,999,0,nonexistent,-0.1,94.369,-36.2,4.031,4963,no
57.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,259.0,6,999,0,nonexistent,-0.1,94.186,-40.6,4.836,5191,no
41.0,blue-collar,single,university.degree,unknown,no,unknown,cellular,sep,wed,225.0,5,999,0,nonexistent,-0.1,94.069,-45.1,4.931,4963,no
42.0,admin.,divorced,high.school,no,yes,no,cellular,nov,wed,88.0,2,999,0,nonexistent,-1.7,93.602,-46.4,3.42,5099,no
24.0,admin.,single,high.school,no,yes,no,cellular,may,tue,138.0,13,999,0,nonexistent,-1.7,93.507,-40.1,1.37,5076,no
41.0,admin.,divorced,basic.9y,no,yes,no,cellular,sep,tue,51.0,11,999,0,nonexistent,-0.1,93.045,-38.4,2.022,5099,no
47.0,admin.,married,basic.9y,unknown,no,no,telephone,mar,tue,,1,999,0,nonexistent,-1.7,93.425,-34.7,1.787,5176,no
26.0,admin.,married,professional.course,no,no,no,cellular,aug,mon,90.0,11,999,0,nonexistent,-0.1,93.327,-35.1,2.966,5008,no
75.0,technician,single,basic.9y,no,yes,no,cellular,jul,mon,155.0,10,999,0,nonexistent,-0.1,93.218,-42.0,5.0,5099,no
64.0,blue-collar,married,university.degree,unknown,yes,no,cellular,dec,tue,430.0,10,999,0,nonexistent,-1.8,93.366,-34.4,4.823,5099,yes
74.0,admin.,married,university.degree,no,no,yes,telephone,nov,wed,123.0,10,999,0,nonexistent,-1.8,93.053,-31.4,5.0,5228,no
87.0,retired,married,basic.9y,no,no,no,cellular,jul,fri,195.0,1,999,0,nonexistent,-1.8,93.107,-30.8,5.0,5191,no
31.0,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,579.0,10,999,0,nonexistent,1.4,93.485,-41.2,5.0,5017,no
57.0,services,married,professional.course,no,no,no,cellular,nov,tue,260.0,11,999,0,nonexistent,-1.7,94.305,-36.3,5.0,5228,no
18.0,services,single,university.degree,no,yes,no,telephone,aug,wed,405.0,12,999,0,nonexistent,1.1,93.608,-42.7,3.644,5076,no
45.0,student,married,professional.course,no,yes,yes,cellular,dec,fri,208.0,4,999,0,nonexistent,1.4,94.082,-36.2,2.343,5191,no
85.0,services,married,basic.9y,no,no,no,cellular,may,tue,559.0,8,999,0,nonexistent,1.4,92.681,-34.2,2.42,5008,no
68.0,management,single,high.school,no,yes,no,telephone,nov,tue,21.0,9,999,0,nonexistent,-0.1,93.404,-38.1,2.525,5017,no
40.0,admin.,married,basic.6y,no,yes,yes,telephone,jan,wed,109.0,2,999,0,nonexistent,-0.1,93.319,-46.6,2.214,5228,no
47.0,technician,married,unknown,no,no,no,telephone,may,wed,886.0,1,999,0,nonexistent,1.4,94.463,-49.3,3.598,5176,no
36.0,admin.,married,professional.course,no,no,no,telephone,may,tue,278.0,10,999,0,nonexistent,1.1,92.883,-38.5,4.372,5017,no
37.0,unemployed,single,unknown,no,yes,yes,cellular,sep,fri,365.0,3,999,0,nonexistent,1.1,93.792,-41.3,4.432,5076,yes
29.0,admin.,single,basic.4y,unknown,yes,no,cellular,may,mon,198.0,5,10,3,failure,-1.7,92.738,-44.5,0.6,5228,no
55.0,technician,married,professional.course,no,yes,yes,cellular,nov,mon,464.0,11,999,0,nonexistent,-0.1,93.917,-32.4,5.0,5099,yes
86.0,admin.,divorced,university.degree,unknown,yes,no,cellular,may,fri,89.0,6,999,0,nonexistent,-1.8,93.801,-44.7,5.0,5191,no
75.0,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,24.0,12,999,0,nonexistent,-0.1,93.933,-35.0,2.947,5176,no
56.0,blue-collar,single,university.degree,no,no,no,cellular,may,mon,37.0,11,999,0,nonexistent,1.4,92.818,-35.8,3.828,5191,no
22.0,retired,married,unknown,no,yes,no,telephone,may,wed,76.0,2,24,1,success,-0.1,93.789,-43.1,4.987,5176,no
35.0,blue-collar,married,unknown,no,yes,no,telephone,oct,fri,621.0,10,999,0,nonexistent,1.1,93.733,-39.9,2.203,5099,yes
33.0,admin.,married,high.school,unknown,yes,no,cellular,jul,fri,255.0,4,999,0,nonexistent,-0.1,94.741,-38.6,5.0,5076,no
82.0,unemployed,married,university.degree,no,yes,no,cellular,dec,tue,490.0,9,999,0,nonexistent,-1.7,93.362,-40.9,4.69,4963,yes
59.0,admin.,married,basic.9y,no,yes,no,cellular,sep,mon,53.0,6,16,1,failure,-0.1,92.549,-37.1,3.186,5099,no
76.0,blue-collar,married,professional.course,no,no,no,telephone,jul,thu,425.0,7,999,0,nonexistent,-0.1,94.762,-43.4,1.052,5017,no
50.0,technician,married,basic.4y,no,no,unknown,telephone,feb,thu,146.0,10,10,4,failure,-1.8,93.54,-49.1,4.4,5017,no
35.0,services,married,basic.9y,unknown,no,no,telephone,dec,thu,104.0,3,999,0,nonexistent,1.4,94.476,-38.7,3.951,5099,no
36.0,entrepreneur,married,high.school,no,no,yes,cellular,may,thu,124.0,13,999,0,nonexistent,-0.1,93.526,-39.7,3.625,5076,no
80.0,housemaid,married,professional.course,no,no,no,cellular,may,fri,130.0,13,999,0,nonexistent,-0.1,93.184,-31.4,2.913,5228,no
58.0,blue-collar,married,professional.course,no,no,yes,cellular,oct,thu,146.0,9,999,0,nonexistent,-1.7,93.363,-38.4,3.731,5191,no
50.0,admin.,married,university.degree,no,yes,no,cellular,may,thu,239.0,6,999,0,nonexistent,-1.8,94.116,-37.3,3.102,5176,no
18.0,admin.,married,university.degree,no,no,no,cellular,may,fri,215.0,12,999,0,nonexistent,1.4,94.381,-30.5,4.1,5191,no
51.0,services,single,basic.6y,no,no,no,cellular,mar,thu,1336.0,3,999,0,nonexistent,-1.7,93.614,-33.0,4.834,5008,yes
50.0,services,single,unknown,no,no,no,telephone,may,fri,77.0,12,999,0,nonexistent,1.4,93.636,-43.7,1.575,5191,no
75.0,technician,divorced,professional.course,no,yes,no,cellular,dec,thu,62.0,10,999,0,nonexistent,1.4,93.394,-43.5,3.689,4963,no
84.0,blue-collar,married,unknown,no,no,no,cellular,aug,tue,336.0,1,999,0,nonexistent,1.4,93.905,-48.3,2.373,5017,yes
46.0,technician,single,professional.course,no,no,no,cellular,mar,thu,423.0,3,999,0,nonexistent,-0.1,93.674,-46.2,2.51,5008,yes
29.0,blue-collar,divorced,high.school,unknown,yes,no,cellular,dec,tue,26.0,9,999,0,nonexistent,-0.1,93.562,-38.2,0.802,5191,no
40.0,student,married,high.school,unknown,no,no,telephone,nov,thu,411.0,13,999,0,nonexistent,-1.8,93.369,-41.0,5.0,5076,no
35.0,services,divorced,unknown,no,no,yes,telephone,nov,tue,325.0,2,999,0,nonexistent,-0.1,92.968,-32.4,3.596,5099,no
57.0,admin.,divorced,professional.course,unknown,no,no,cellular,may,tue,484.0,13,999,0,nonexistent,-0.1,94.707,-40.3,5.0,4963,yes
79.0,self-employed,single,university.degree,no,no,no,telephone,may,mon,406.0,13,999,0,nonexistent,-1.8,93.795,-45.1,4.245,5017,no
45.0,admin.,married,basic.9y,no,yes,yes,cellular,dec,mon,38.0,5,999,0,nonexistent,-0.1,93.341,-39.2,3.783,5099,no
54.0,retired,married,basic.4y,no,yes,no,cellular,jun,mon,40.0,8,999,0,nonexistent,1.4,92.31,-41.8,2.734,5176,no
75.0,management,married,university.degree,no,no,no,telephone,nov,thu,995.0,1,999,0,nonexistent,-0.1,93.656,-41.9,4.067,5008,no
41.0,management,divorced,high.school,no,yes,no,cellular,dec,fri,54.0,12,999,0,nonexistent,1.4,93.269,-40.7,3.924,5017,no
43.0,blue-collar,married,university.degree,no,no,no,cellular,jul,fri,355.0,5,999,0,nonexistent,1.4,93.335,-32.7,3.614,5017,yes
54.0,blue-collar,married,high.school,no,yes,no,cellular,jun,fri,1510.0,4,999,0,nonexistent,-1.8,92.852,-39.6,2.863,5176,no
34.0,admin.,married,basic.4y,no,no,unknown,telephone,jul,mon,18.0,11,999,0,nonexistent,-0.1,92.928,-35.1,3.574,5099,no
71.0,blue-collar,married,unknown,no,no,no,cellular,may,tue,54.0,13,999,0,nonexistent,1.4,94.235,-46.7,0.928,5099,no
63.0,management,married,basic.9y,no,no,no,telephone,may,mon,91.0,6,999,0,nonexistent,1.1,93.699,-46.6,3.165,5228,no
53.0,management,married,unknown,no,yes,no,cellular,jul,fri,362.0,13,999,0,nonexistent,-0.1,93.659,-36.9,5.0,5017,no
24.0,entrepreneur,married,basic.6y,no,no,unknown,cellular,may,thu,214.0,2,999,0,nonexistent,-1.8,93.034,-38.8,2.243,5017,no
68.0,self-employed,single,university.degree,unknown,yes,no,cellular,may,wed,50.0,3,999,0,nonexistent,-0.1,94.862,-35.3,5.0,5017,no
21.0,admin.,married,university.degree,no,yes,no,cellular,jun,fri,150.0,3,999,0,nonexistent,-0.1,94.151,-37.6,3.272,5099,no
62.0,admin.,single,high.school,no,no,no,telephone,sep,wed,16.0,6,999,0,nonexistent,1.1,94.429,-44.8,1.094,5017,no
40.0,admin.,single,high.school,no,yes,no,telephone,sep,fri,66.0,9,999,0,nonexistent,1.4,95.179,-40.5,4.8,5017,no
62.0,blue-collar,married,high.school,no,no,no,cellular,sep,mon,142.0,12,999,0,nonexistent,1.4,93.357,-35.3,5.0,5076,no
68.0,services,married,high.school,no,no,yes,cellular,feb,mon,394.0,4,999,0,nonexistent,-1.8,93.295,-32.9,1.391,5017,yes
52.0,housemaid,married,basic.9y,unknown,no,no,telephone,may,wed,444.0,3,999,0,nonexistent,-0.1,93.561,-46.2,2.699,5099,no
24.0,technician,married,high.school,no,yes,no,cellular,feb,tue,107.0,8,999,0,nonexistent,-0.1,92.895,-43.1,2.007,4963,no
27.0,housemaid,married,basic.9y,no,yes,no,telephone,may,fri,412.0,5,999,0,nonexistent,1.1,94.816,-40.4,2.193,5076,no
65.0,admin.,married,university.degree,no,yes,no,telephone,jul,thu,140.0,7,999,0,nonexistent,-0.1,92.927,-45.1,5.0,5099,no
75.0,management,divorced,university.degree,unknown,yes,no,telephone,may,wed,105.0,1,999,0,nonexistent,1.1,93.586,-37.0,3.626,5008,no
69.0,blue-collar,married,university.degree,no,no,no,cellular,may,thu,382.0,6,999,0,nonexistent,-0.1,94.579,-38.8,5.0,5008,yes
69.0,technician,married,university.degree,no,no,no,telephone,dec,thu,84.0,5,999,0,nonexistent,-1.8,93.702,-36.7,4.695,5076,no
21.0,blue-collar,divorced,high.school,no,no,no,cellular,nov,fri,3.0,7,999,0,nonexistent,1.1,93.435,-38.1,3.339,5228,no
53.0,technician,married,basic.4y,no,unknown,no,telephone,may,tue,285.0,10,999,0,nonexistent,-0.1,92.904,-43.7,4.355,4963,no
70.0,admin.,married,high.school,no,no,yes,cellular,may,mon,49.0,14,999,0,nonexistent,-0.1,93.333,-33.7,5.0,5099,no
40.0,retired,married,university.degree,no,no,yes,telephone,sep,wed,592.0,9,999,0,nonexistent,1.4,94.417,-42.4,0.6,5008,yes
51.0,self-employed,single,unknown,no,no,no,telephone,may,mon,1.0,13,999,0,nonexistent,-0.1,94.569,-45.0,0.6,5017,no
82.0,management,single,professional.course,no,yes,no,cellular,jun,tue,165.0,14,999,0,nonexistent,1.1,93.525,-37.9,5.0,5076,no
31.0,services,married,university.degree,unknown,yes,no,cellular,aug,thu,15.0,11,999,0,nonexistent,1.1,93.683,-40.3,3.35,5099,no
38.0,services,married,professional.course,no,yes,no,cellular,may,mon,334.0,14,999,0,nonexistent,1.1,93.22,-40.8,4.383,5191,yes
41.0,services,married,high.school,unknown,no,no,cellular,may,tue,445.0,1,999,0,nonexistent,1.4,92.946,-39.0,5.0,5228,yes
74.0,admin.,married,professional.course,no,unknown,no,telephone,dec,tue,146.0,8,999,0,nonexistent,-0.1,92.506,-41.6,2.217,5191,no
54.0,unknown,married,professional.course,no,yes,no,telephone,dec,wed,194.0,1,999,0,nonexistent,1.1,93.949,-39.0,2.342,5191,no
42.0,retired,single,high.school,unknown,yes,no,cellular,may,thu,529.0,12,999,0,nonexistent,-0.1,94.247,-43.1,1.825,5076,no
59.0,technician,married,high.school,no,yes,no,cellular,jul,mon,169.0,6,999,0,nonexistent,1.1,94.566,-42.3,5.0,5191,no
58.0,services,married,basic.6y,no,no,yes,cellular,may,wed,215.0,4,999,0,nonexistent,1.1,92.849,-42.7,3.195,5191,no
43.0,unemployed,married,university.degree,no,no,no,cellular,may,wed,662.0,9,999,0,nonexistent,-0.1,93.903,-38.4,2.289,5008,yes
49.0,admin.,divorced,professional.course,no,no,no,telephone,dec,tue,56.0,14,999,0,nonexistent,-0.1,94.008,-43.3,3.281,5176,no
79.0,services,married,university.degree,no,yes,no,cellular,nov,thu,215.0,13,999,0,nonexistent,-0.1,92.94,-42.8,1.897,5008,no
75.0,blue-collar,married,university.degree,no,yes,no,telephone,sep,mon,53.0,12,999,0,nonexistent,1.4,93.586,-42.5,5.0,5076,no
67.0,technician,divorced,basic.9y,no,yes,no,cellular,dec,wed,487.0,9,999,0,nonexistent,1.1,93.982,-40.3,1.367,5228,yes
78.0,technician,divorced,professional.course,no,yes,no,cellular,dec,fri,3.0,11,999,0,nonexistent,-1.7,93.307,-37.1,2.934,5228,no
52.0,admin.,single,university.degree,no,no,yes,telephone,mar,fri,375.0,9,999,0,nonexistent,-0.1,93.445,-35.9,3.956,5008,no
61.0,blue-collar,married,university.degree,no,no,no,cellular,may,fri,275.0,2,999,0,nonexistent,-1.8,94.516,-47.1,0.6,5017,no
52.0,blue-collar,single,university.degree,no,yes,no,cellular,nov,fri,707.0,14,999,0,nonexistent,-1.8,92.286,-49.8,3.156,5008,yes
62.0,retired,married,university.degree,no,yes,no,telephone,may,thu,182.0,7,999,0,nonexistent,1.1,92.83,-41.8,4.972,5099,no
80.0,admin.,divorced,university.degree,no,no,no,cellular,dec,wed,180.0,11,999,0,nonexistent,-0.1,92.047,-39.2,2.84,5176,no
71.0,admin.,married,professional.course,no,no,yes,telephone,aug,tue,156.0,1,999,0,nonexistent,1.4,93.116,-36.3,3.304,5228,no
81.0,management,divorced,high.school,no,no,no,cellular,sep,thu,271.0,1,999,0,nonexistent,1.4,93.517,-42.4,5.0,5191,no
40.0,admin.,divorced,basic.9y,no,no,no,cellular,jul,thu,126.0,13,999,0,nonexistent,-0.1,93.805,-41.5,5.0,5191,no
78.0,admin.,single,basic.9y,unknown,no,no,cellular,may,mon,193.0,8,999,0,nonexistent,1.4,93.763,-40.8,4.246,5017,no
86.0,technician,married,university.degree,no,yes,no,cellular,jul,wed,187.0,8,999,0,nonexistent,1.4,94.009,-32.7,5.0,5191,no
22.0,management,married,high.school,no,no,no,cellular,dec,wed,14.0,6,999,0,nonexistent,1.4,93.994,-40.9,5.0,5017,no
26.0,blue-collar,single,basic.6y,no,yes,no,cellular,may,wed,96.0,4,999,0,nonexistent,-0.1,92.896,-41.5,4.892,5099,no
21.0,admin.,married,high.school,unknown,no,no,cellular,jun,thu,187.0,12,999,0,nonexistent,-1.8,93.503,-45.9,4.229,5176,no
22.0,admin.,married,university.degree,no,yes,no,cellular,may,fri,777.0,8,999,0,nonexistent,1.1,94.23,-36.1,2.114,5099,yes
78.0,entrepreneur,divorced,university.degree,no,no,no,cellular,may,thu,16.0,9,999,0,nonexistent,-1.8,92.549,-42.8,5.0,5191,no
80.0,management,married,basic.9y,no,yes,no,telephone,jul,wed,262.0,8,999,0,nonexistent,-1.7,93.813,-45.7,0.6,5191,no
48.0,retired,married,professional.course,no,no,no,cellular,may,wed,107.0,13,999,0,nonexistent,-1.7,92.968,-47.0,4.87,5017,no
83.0,unemployed,single,high.school,unknown,no,unknown,telephone,aug,fri,123.0,6,999,0,nonexistent,-1.8,93.133,-35.3,5.0,5228,no
53.0,admin.,married,university.degree,no,no,no,cellular,dec,thu,2.0,8,999,0,nonexistent,1.4,92.688,-37.5,3.387,5228,no
37.0,blue-collar,married,high.school,no,yes,no,cellular,oct,tue,78.0,6,999,0,nonexistent,1.4,93.987,-42.4,3.151,5008,no
49.0,blue-collar,divorced,basic.6y,no,no,no,cellular,jul,mon,530.0,2,999,0,nonexistent,1.1,94.138,-34.1,4.222,5008,yes
33.0,admin.,married,high.school,no,no,no,telephone,may,mon,225.0,10,999,0,nonexistent,-1.8,93.651,-43.3,3.713,4963,no
,technician,married,university.degree,no,yes,no,cellular,may,wed,777.0,11,999,0,nonexistent,-1.7,94.045,-38.1,5.0,5017,no
34.0,unknown,married,university.degree,no,yes,no,cellular,jun,mon,423.0,10,999,0,nonexistent,1.4,93.837,-29.9,1.77,5076,no
84.0,admin.,divorced,basic.9y,no,no,no,cellular,may,tue,286.0,7,999,0,nonexistent,1.1,93.354,-37.9,1.73,5008,no
65.0,technician,married,basic.9y,unknown,yes,unknown,cellular,may,wed,666.0,5,999,0,nonexistent,-0.1,93.807,-41.6,4.226,5228,yes
53.0,technician,married,basic.9y,no,yes,no,telephone,jul,thu,288.0,10,999,0,nonexistent,1.1,93.534,-44.9,4.829,5191,no
86.0,technician,married,high.school,unknown,yes,no,cellular,may,wed,76.0,7,999,0,nonexistent,1.1,93.345,-45.2,5.0,5076,no
22.0,student,married,basic.4y,unknown,yes,yes,telephone,may,wed,225.0,5,999,0,nonexistent,-1.8,92.577,-41.7,2.536,5228,no
68.0,unemployed,single,professional.course,unknown,no,no,cellular,may,mon,476.0,10,999,0,nonexistent,-0.1,93.48,-44.9,2.625,5076,yes
61.0,services,married,professional.course,unknown,no,no,cellular,nov,wed,395.0,10,999,0,nonexistent,-1.8,92.229,-39.6,4.3,5076,no
26.0,management,married,basic.6y,no,yes,no,cellular,jul,mon,657.0,12,999,0,nonexistent,-1.8,94.165,-41.5,4.557,5228,yes
29.0,blue-collar,married,unknown,no,no,no,cellular,may,thu,19.0,7,999,0,nonexistent,-1.7,92.073,-38.9,2.979,5191,no
51.0,admin.,married,high.school,no,yes,no,cellular,may,thu,191.0,11,999,0,nonexistent,-1.7,94.004,-33.7,4.06,5076,no
51.0,admin.,married,high.school,no,yes,no,cellular,dec,mon,241.0,14,999,0,nonexistent,-0.1,93.662,-38.4,3.887,5176,no
43.0,management,divorced,university.degree,no,yes,unknown,telephone,may,fri,1047.0,5,999,0,nonexistent,-0.1,94.182,-31.0,5.0,5008,no
86.0,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,46.0,3,999,0,nonexistent,-1.7,93.869,-34.6,4.508,5228,no
22.0,technician,married,university.degree,no,no,no,cellular,may,thu,351.0,6,999,0,nonexistent,-1.8,93.654,-38.2,2.595,5099,yes
38.0,blue-collar,married,professional.course,no,yes,no,cellular,dec,thu,350.0,1,1,3,success,-1.7,94.62,-36.3,3.756,5008,yes
53.0,admin.,single,basic.9y,no,no,no,cellular,dec,thu,3.0,3,999,0,nonexistent,-0.1,93.897,-33.3,1.951,5191,no
30.0,self-employed,married,basic.4y,unknown,yes,no,cellular,apr,tue,123.0,6,999,0,nonexistent,-0.1,93.388,-43.2,4.767,5176,no
76.0,blue-collar,married,high.school,no,no,no,telephone,nov,tue,232.0,6,999,0,nonexistent,-1.8,93.531,-44.2,2.024,5191,no
38.0,admin.,married,high.school,no,yes,no,telephone,may,tue,185.0,10,999,0,nonexistent,-1.7,94.387,-39.4,2.364,5176,no
68.0,management,married,professional.course,no,no,no,cellular,dec,fri,18.0,8,999,0,nonexistent,-0.1,94.159,-41.4,2.744,5228,no
54.0,admin.,single,basic.6y,no,yes,unknown,telephone,dec,fri,61.0,13,999,0,nonexistent,-1.8,94.007,-48.9,4.128,5191,no
34.0,unemployed,married,basic.4y,unknown,no,no,cellular,may,mon,189.0,10,20,2,failure,1.1,93.164,-39.1,5.0,5008,no
82.0,admin.,divorced,high.school,no,yes,yes,telephone,nov,fri,9.0,1,999,0,nonexistent,1.4,93.784,-45.9,3.614,5008,no
62.0,services,single,basic.9y,no,unknown,no,cellular,jul,tue,136.0,2,999,0,nonexistent,-0.1,93.528,-39.5,4.53,5099,no
52.0,entrepreneur,married,university.degree,unknown,no,no,cellular,jul,mon,270.0,14,999,0,nonexistent,-0.1,93.625,-49.6,4.889,5176,no
23.0,technician,married,university.degree,unknown,yes,no,cellular,dec,fri,51.0,1,999,0,nonexistent,-1.7,94.06,-44.0,3.444,5099,no
29.0,admin.,divorced,unknown,no,no,no,cellular,dec,wed,56.0,1,999,0,nonexistent,1.1,93.117,-41.5,5.0,4963,no
79.0,blue-collar,married,unknown,unknown,yes,no,cellular,jul,mon,137.0,8,999,0,nonexistent,-0.1,93.937,-51.6,4.069,5176,no
73.0,blue-collar,divorced,high.school,no,no,no,telephone,may,tue,339.0,12,999,0,nonexistent,-1.8,93.748,-43.0,1.784,5191,no
39.0,technician,married,basic.6y,no,yes,no,telephone,jul,thu,81.0,14,999,0,nonexistent,-0.1,94.039,-46.5,4.338,5076,no
70.0,technician,married,university.degree,yes,yes,no,cellular,aug,fri,436.0,6,999,0,nonexistent,-1.8,93.565,-31.9,4.366,5191,yes
49.0,admin.,divorced,unknown,no,no,no,cellular,oct,tue,361.0,3,999,0,nonexistent,1.4,94.382,-42.5,1.234,5191,yes
33.0,services,married,unknown,unknown,yes,no,cellular,feb,mon,75.0,4,999,0,nonexistent,1.1,94.168,-42.9,5.0,5099,no
84.0,unemployed,married,basic.9y,no,yes,no,cellular,aug,tue,653.0,11,21,1,failure,1.4,92.687,-34.6,2.423,5008,yes
87.0,technician,single,high.school,unknown,yes,no,cellular,aug,wed,558.0,3,999,0,nonexistent,-0.1,94.444,-37.7,1.442,5099,yes
76.0,technician,married,high.school,no,yes,no,cellular,may,tue,42.0,1,999,0,nonexistent,1.1,93.163,-35.0,4.626,4963,no
63.0,blue-collar,single,professional.course,no,no,no,telephone,nov,mon,293.0,3,999,0,nonexistent,1.4,94.544,-38.3,1.523,5191,no
